gene_A,gene_B,lcbs_length,peak_col_pos,M,time_baseline_us,time_ms_us,speedup,lcbs_sequence
10173_at,10188_at,8,23,132,183.50000027567148,467.40000834688544,0.3925973406048491,"[1, 3, 7, 9, 3, 2, 1, 0]"
10067_at,10070_at,9,8,132,190.69999689236283,461.9999963324517,0.4127705593208199,"[2, 3, 5, 9, 8, 7, 6, 5, 3]"
10008_at,10129_at,9,3,132,171.69999773614109,459.80000868439674,0.3734232155136706,"[0, 7, 8, 7, 6, 5, 3, 1, 0]"
10162_at,10179_at,9,13,132,177.10000975057483,470.7000043708831,0.37624815828773767,"[0, 1, 5, 9, 7, 3, 2, 1, 0]"
10101_at,10121_at,10,12,132,172.89997776970267,466.90000453963876,0.3703147913656185,"[1, 3, 4, 8, 9, 8, 5, 3, 1, 0]"
10097_at,10159_at,10,20,132,168.9000055193901,466.90000453963876,0.3617477058838856,"[2, 3, 4, 6, 9, 7, 6, 4, 3, 2]"
10111_at,10187_at,9,12,132,171.1999939288944,462.1999978553504,0.3704024117768884,"[4, 5, 9, 8, 7, 6, 3, 2, 0]"
10043_at,10053_at,8,8,132,174.60001981817186,462.5000001396984,0.37751355624958666,"[0, 2, 5, 9, 8, 4, 1, 0]"
10012_at,10131_at,9,6,132,171.09999316744506,482.60000767186284,0.3545378998082862,"[1, 2, 3, 6, 5, 4, 3, 2, 1]"
10114_at,10146_at,9,13,132,180.7000080589205,474.2999735753983,0.3809825387439012,"[0, 4, 5, 9, 7, 5, 4, 3, 2]"
10041_at,10150_at,8,2,132,183.20002709515393,460.40001325309277,0.39791490404333363,"[2, 9, 8, 7, 5, 3, 2, 1]"
10037_at,10078_at,10,14,132,170.0999855529517,457.7000217977911,0.3716407634957482,"[5, 8, 9, 7, 5, 4, 3, 2, 1, 0]"
10101_at,10155_at,8,8,132,173.89998538419604,461.3000201061368,0.3769780572395917,"[0, 3, 8, 9, 8, 7, 1, 0]"
10039_s_at,10147_at,8,8,132,174.69999147579074,461.89999557100236,0.37822037919663976,"[5, 7, 9, 6, 5, 4, 3, 0]"
10003_f_at,10066_s_at,9,29,132,173.20000915788114,455.5000050459057,0.38024150875788876,"[0, 2, 3, 4, 5, 6, 9, 8, 7]"
10151_at,10181_at,9,26,132,176.2000028975308,454.49999743141234,0.3876787764429433,"[0, 1, 3, 5, 9, 7, 5, 3, 1]"
10005_at,10166_at,10,19,132,172.60000458918512,459.1000033542514,0.3759529586759843,"[1, 2, 4, 6, 8, 9, 8, 7, 2, 1]"
10037_at,10086_at,8,1,132,173.1000083964318,459.00000259280205,0.37712419916911416,"[7, 9, 7, 4, 3, 2, 1, 0]"
10111_at,10177_at,9,28,132,185.2999848779291,461.5000216290355,0.40151674148106015,"[0, 2, 4, 5, 6, 7, 8, 6, 5]"
10080_at,10089_at,9,26,132,174.7000205796212,469.3999944720417,0.37217729577546177,"[0, 1, 3, 4, 5, 8, 4, 3, 2]"
10066_s_at,10151_at,9,13,132,174.2999884299934,450.59999683871865,0.38681755360149245,"[0, 1, 3, 5, 6, 8, 9, 8, 7]"
10054_at,10076_at,10,15,132,179.49999892152846,454.3000250123441,0.3951133370874262,"[2, 5, 7, 9, 7, 4, 3, 2, 1, 0]"
10020_at,10069_f_at,7,8,132,172.3000023048371,458.2999972626567,0.37595462215569275,"[0, 3, 9, 4, 2, 1, 0]"
10052_at,10182_at,8,29,132,172.10000078193843,448.0999778024852,0.3840660774542532,"[0, 2, 3, 4, 6, 8, 9, 8]"
10078_at,10131_at,9,7,132,174.99999376013875,463.89998169615865,0.3772364748114148,"[0, 1, 2, 9, 6, 4, 3, 2, 1]"
10075_at,10171_at,9,30,132,171.79999849759042,464.00001156143844,0.3702586082260093,"[0, 1, 2, 3, 4, 6, 7, 3, 2]"
10124_at,10130_at,10,20,132,174.2000167723745,459.39997653476894,0.3791903040273457,"[5, 6, 7, 9, 8, 7, 5, 4, 3, 0]"
10003_f_at,10054_at,10,25,132,189.50001685880125,483.59998618252575,0.39185281694213697,"[0, 1, 2, 3, 4, 5, 6, 9, 7, 5]"
